order_id,order_name,created_at,created_at_melbourne,created_date_melbourne,processed_at,processed_at_melbourne,source_name,attribution_handle,app_id,app_name,financial_status,fulfillment_status,cancelled_at,cancel_reason,test,edited,fully_paid,payment_gateway_names,presentment_currency,shipping_country_code,line_item_count,current_total_amount,total_refunded_amount,found_in_ga4_purchase_events,found_in_ga4_purchase_items,classification
6609773527179,STE138361,2026-07-02T08:09:35Z,2026-07-02T18:09:35+10:00,2026-07-02,2026-07-02T08:09:34Z,2026-07-02T18:09:34+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,paypal,AUD,AU,2,198.0,0.0,True,True,complete_ga4_purchase
6609925406859,STE138362,2026-07-02T10:58:37Z,2026-07-02T20:58:37+10:00,2026-07-02,2026-07-02T10:58:33Z,2026-07-02T20:58:33+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,1,109.0,0.0,False,False,absent_from_ga4
6610030690443,STE138363,2026-07-02T12:20:50Z,2026-07-02T22:20:50+10:00,2026-07-02,2026-07-02T12:20:49Z,2026-07-02T22:20:49+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,paypal,AUD,AU,1,79.0,0.0,True,True,complete_ga4_purchase
6610062016651,STE138364,2026-07-02T12:47:42Z,2026-07-02T22:47:42+10:00,2026-07-02,2026-07-02T12:47:40Z,2026-07-02T22:47:40+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,gift_card,AUD,AU,1,159.0,0.0,True,True,complete_ga4_purchase
6610078892171,STE138365,2026-07-02T13:00:20Z,2026-07-02T23:00:20+10:00,2026-07-02,2026-07-02T13:00:19Z,2026-07-02T23:00:19+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,PARTIALLY_FULFILLED,,,False,False,True,Airwallex Afterpay|gift_card,AUD,AU,2,158.0,0.0,False,False,absent_from_ga4
6610119131275,STE138366,2026-07-02T13:10:57Z,2026-07-02T23:10:57+10:00,2026-07-02,2026-07-02T13:10:54Z,2026-07-02T23:10:54+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,2,418.0,0.0,False,False,absent_from_ga4
6610262163595,STE138367,2026-07-02T14:28:50Z,2026-07-03T00:28:50+10:00,2026-07-03,2026-07-02T14:28:50Z,2026-07-03T00:28:50+10:00,shopify_draft_order,shopify-draft-orders,gid://shopify/App/1354745,Draft Orders,PAID,FULFILLED,,,False,False,True,manual,AUD,AU,2,258.0,0.0,False,False,absent_from_ga4
6610299879563,STE138368,2026-07-02T14:55:36Z,2026-07-03T00:55:36+10:00,2026-07-03,2026-07-02T14:55:34Z,2026-07-03T00:55:34+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,Airwallex Afterpay,AUD,AU,3,217.0,0.0,True,True,complete_ga4_purchase
6610901074059,STE138369,2026-07-02T20:52:20Z,2026-07-03T06:52:20+10:00,2026-07-03,2026-07-02T20:52:15Z,2026-07-03T06:52:15+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,1,153.1,0.0,True,True,complete_ga4_purchase
6611021168779,STE138370,2026-07-02T22:25:02Z,2026-07-03T08:25:02+10:00,2026-07-03,2026-07-02T22:25:01Z,2026-07-03T08:25:01+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,paypal,AUD,AU,2,186.1,0.0,True,True,complete_ga4_purchase
