order_id,order_name,line_item_graphql_id,name,title,variant_title,sku,quantity,current_quantity,variant_graphql_id,variant_id,product_graphql_id,product_id,product_title,original_unit_price_shop_amount,original_unit_price_shop_currency,original_unit_price_presentment_amount,original_unit_price_presentment_currency,discounted_total_shop_amount,discounted_total_shop_currency,discounted_total_presentment_amount,discounted_total_presentment_currency
6619352105099,STE138543,gid://shopify/LineItem/16058615267467,Marsielle Top - Noir - S,Marsielle Top - Noir,S,STC501-S,1,1,gid://shopify/ProductVariant/43996446032011,43996446032011,gid://shopify/Product/7902749065355,7902749065355,Marsielle Top - Noir,119.0,AUD,119.0,AUD,119.0,AUD,119.0,AUD
6619352105099,STE138543,gid://shopify/LineItem/16058615300235,Eloise Skirt - Gelato stripe - S,Eloise Skirt - Gelato stripe,S,STC882-S,1,1,gid://shopify/ProductVariant/46037233139851,46037233139851,gid://shopify/Product/8095253135499,8095253135499,Eloise Skirt - Gelato stripe,169.0,AUD,169.0,AUD,169.0,AUD,169.0,AUD
6619352105099,STE138543,gid://shopify/LineItem/16058615333003,Coco Top - Gelato Stripe - S,Coco Top - Gelato Stripe,S,STC881-S,1,1,gid://shopify/ProductVariant/46037232844939,46037232844939,gid://shopify/Product/8095252971659,8095252971659,Coco Top - Gelato Stripe,99.0,AUD,99.0,AUD,99.0,AUD,99.0,AUD
6619352957067,STE138544,gid://shopify/LineItem/16058616938635,Lottie Short - Noir - S,Lottie Short - Noir,S,STC383-S,1,1,gid://shopify/ProductVariant/43691660312715,43691660312715,gid://shopify/Product/7865911115915,7865911115915,Lottie Short - Noir,79.0,AUD,79.0,AUD,79.0,AUD,79.0,AUD
6619354562699,STE138545,gid://shopify/LineItem/16058619723915,Georgie Dress - Azure Stripe - XL,Georgie Dress - Azure Stripe,XL,STC492-XL ,1,1,gid://shopify/ProductVariant/43954513772683,43954513772683,gid://shopify/Product/7901687578763,7901687578763,Georgie Dress - Azure Stripe,159.0,AUD,159.0,AUD,159.0,AUD,159.0,AUD
6619354562699,STE138545,gid://shopify/LineItem/16058619756683,Louise Top - Carinvale Stripe - XL,Louise Top - Carinvale Stripe,XL,STC401-XL,1,1,gid://shopify/ProductVariant/43691652874379,43691652874379,gid://shopify/Product/7865909608587,7865909608587,Louise Top - Carinvale Stripe,49.0,AUD,49.0,AUD,49.0,AUD,49.0,AUD
6619359969419,STE138546,gid://shopify/LineItem/16058629357707,Kiara Dress - Rainbow Stripe - L,Kiara Dress - Rainbow Stripe,L,STC439-L,1,1,gid://shopify/ProductVariant/44384278184075,44384278184075,gid://shopify/Product/7957185003659,7957185003659,Kiara Dress - Rainbow Stripe,99.0,AUD,99.0,AUD,99.0,AUD,99.0,AUD
6619368554635,STE138547,gid://shopify/LineItem/16058643841163,Rita Skirt - Petal - XXL,Rita Skirt - Petal,XXL,STC444-XXL,1,1,gid://shopify/ProductVariant/44384278446219,44384278446219,gid://shopify/Product/7957185036427,7957185036427,Rita Skirt - Petal,59.0,AUD,59.0,AUD,59.0,AUD,59.0,AUD
6619368554635,STE138547,gid://shopify/LineItem/16058643873931,Amara Shirt - Cornflower Stripe - XL,Amara Shirt - Cornflower Stripe,XL,STC542-XL,1,1,gid://shopify/ProductVariant/45049101975691,45049101975691,gid://shopify/Product/8034434285707,8034434285707,Amara Shirt - Cornflower Stripe,99.0,AUD,99.0,AUD,99.0,AUD,99.0,AUD
6619374321803,STE138548,gid://shopify/LineItem/16058654261387,Sophia Dress  - Ikaria stripe - L,Sophia Dress  - Ikaria stripe,L,STC509-L,1,1,gid://shopify/ProductVariant/45024019513483,45024019513483,gid://shopify/Product/8028922183819,8028922183819,Sophia Dress  - Ikaria stripe,149.0,AUD,149.0,AUD,149.0,AUD,149.0,AUD
6619374321803,STE138548,gid://shopify/LineItem/16058654294155,Gabrielle Dress - Cornflower Stripe - L,Gabrielle Dress - Cornflower Stripe,L,STC541-L,1,1,gid://shopify/ProductVariant/45049101451403,45049101451403,gid://shopify/Product/8034434089099,8034434089099,Gabrielle Dress - Cornflower Stripe,159.0,AUD,159.0,AUD,159.0,AUD,159.0,AUD
6619374321803,STE138548,gid://shopify/LineItem/16058654326923,Emilia Top - Siesta Stripe - L,Emilia Top - Siesta Stripe,L,STC421-L,1,1,gid://shopify/ProductVariant/43691655463051,43691655463051,gid://shopify/Product/7865910132875,7865910132875,Emilia Top - Siesta Stripe,99.0,AUD,99.0,AUD,99.0,AUD,99.0,AUD
6619374321803,STE138548,gid://shopify/LineItem/16058654359691,Corina Shirt  - Ikaria stripe - L,Corina Shirt  - Ikaria stripe,L,STC507-L,1,1,gid://shopify/ProductVariant/45024017055883,45024017055883,gid://shopify/Product/8028921430155,8028921430155,Corina Shirt  - Ikaria stripe,109.0,AUD,109.0,AUD,109.0,AUD,109.0,AUD
6619407483019,STE138549,gid://shopify/LineItem/16058712359051,Eloise Skirt - Gelato stripe - L,Eloise Skirt - Gelato stripe,L,STC882-L,1,1,gid://shopify/ProductVariant/46037233205387,46037233205387,gid://shopify/Product/8095253135499,8095253135499,Eloise Skirt - Gelato stripe,169.0,AUD,169.0,AUD,169.0,AUD,169.0,AUD
6619407483019,STE138549,gid://shopify/LineItem/16058712391819,Coco Top - Gelato Stripe - L,Coco Top - Gelato Stripe,L,STC881-L,1,1,gid://shopify/ProductVariant/46037232910475,46037232910475,gid://shopify/Product/8095252971659,8095252971659,Coco Top - Gelato Stripe,99.0,AUD,99.0,AUD,99.0,AUD,99.0,AUD
6619449360523,STE138550,gid://shopify/LineItem/16058791297163,Madelina Dress - Liquorice Stripe - S,Madelina Dress - Liquorice Stripe,S,STC706-S,1,1,gid://shopify/ProductVariant/45031983186059,45031983186059,gid://shopify/Product/8031567839371,8031567839371,Madelina Dress - Liquorice Stripe,109.0,AUD,109.0,AUD,109.0,AUD,109.0,AUD
6619468365963,STE138551,gid://shopify/LineItem/16058827407499,Selene Midi Dress  - White - S,Selene Midi Dress  - White,S,STC526-S,1,1,gid://shopify/ProductVariant/45031975944331,45031975944331,gid://shopify/Product/8031566037131,8031566037131,Selene Midi Dress  - White,149.0,AUD,149.0,AUD,149.0,AUD,149.0,AUD
